COD_PROVINCIA,province_name,analysis_window,baseline_note,baseline_year,current_year,baseline_rent_eur_month,current_rent_eur_month,rent_change_eur_month,rent_growth_total_pct,rent_growth_annual_pct,growth_total_pct,growth_annual_pct,recent_start_year,recent_start_rent_eur_month,growth_recent_pct,growth_recent_annual_pct,pre_start_year,pre_end_year,pre_start_rent_eur_month,pre_end_rent_eur_month,growth_pre_pct,growth_pre_annual_pct,acceleration_pp_year,trajectory_class,trajectory_description,series_complete_2011_2019,first_year_available,years_available,baseline_rental_homes,current_rental_homes,baseline_municipalities,current_municipalities,baseline_municipal_spread_eur,current_municipal_spread_eur,growth_class,has_growth_history
25,Lleida,2019-2024,Comparacion exacta,2019.0,2024,384.18,463.87,79.7,20.74,3.84,20.74,3.84,2021,409.22,13.36,4.27,2011,2019,382.8,384.18,0.36,0.05,4.22,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,20949.0,25913,88.0,106,78.73,74.43,Crecimiento alto,True
36,Pontevedra,2019-2024,Comparacion exacta,2019.0,2024,405.53,486.59,81.06,19.99,3.71,19.99,3.71,2021,427.17,13.91,4.44,2011,2019,391.47,405.53,3.59,0.44,4.0,Subida sostenida,Crecimiento antes de 2019 y tambien en el tramo reciente.,True,2011,14,40213.0,48088,56.0,59,73.5,82.29,Crecimiento alto,True
44,Teruel,2019-2024,Comparacion exacta,2019.0,2024,339.0,406.39,67.39,19.88,3.69,19.88,3.69,2021,356.12,14.11,4.5,2011,2019,351.2,339.0,-3.47,-0.44,4.94,Rebote post-2021,Venia de caidas o estancamiento y repunta desde 2021.,True,2011,14,4590.0,5638,24.0,30,42.72,60.34,Crecimiento alto,True
06,Badajoz,2019-2024,Comparacion exacta,2019.0,2024,355.57,426.13,70.57,19.85,3.69,19.85,3.69,2021,374.94,13.65,4.36,2011,2019,353.88,355.57,0.48,0.06,4.3,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,14200.0,18668,55.0,63,52.36,63.47,Crecimiento alto,True
17,Girona,2019-2024,Comparacion exacta,2019.0,2024,479.56,574.2,94.65,19.74,3.67,19.74,3.67,2021,508.78,12.86,4.11,2011,2019,450.55,479.56,6.44,0.78,3.33,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,48402.0,56089,171.0,177,122.9,138.0,Crecimiento medio,True
43,Tarragona,2019-2024,Comparacion exacta,2019.0,2024,437.08,523.17,86.09,19.7,3.66,19.7,3.66,2021,459.69,13.81,4.41,2011,2019,424.22,437.08,3.03,0.37,4.03,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,42358.0,50807,96.0,105,130.46,148.53,Crecimiento medio,True
15,"Coruña, A",2019-2024,Comparacion exacta,2019.0,2024,386.24,461.95,75.71,19.6,3.64,19.6,3.64,2021,401.5,15.06,4.79,2011,2019,362.05,386.24,6.68,0.81,3.97,Subida sostenida,Crecimiento antes de 2019 y tambien en el tramo reciente.,True,2011,14,59611.0,72627,77.0,89,81.52,75.78,Crecimiento medio,True
26,"Rioja, La",2019-2024,Comparacion exacta,2019.0,2024,403.05,481.28,78.23,19.41,3.61,19.41,3.61,2021,425.48,13.11,4.19,2011,2019,403.27,403.05,-0.06,-0.01,4.2,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,12928.0,16451,28.0,34,48.05,52.72,Crecimiento medio,True
42,Soria,2019-2024,Comparacion exacta,2019.0,2024,415.14,493.05,77.91,18.77,3.5,18.77,3.5,2021,427.35,15.37,4.88,2011,2019,403.02,415.14,3.01,0.37,4.51,Aceleracion reciente,El ritmo 2021-final supera claramente el tramo 2011-2019.,True,2011,14,3429.0,4305,13.0,15,57.81,107.42,Crecimiento medio,True
41,Sevilla,2019-2024,Comparacion exacta,2019.0,2024,511.33,606.23,94.91,18.56,3.46,18.56,3.46,2021,542.24,11.8,3.79,2011,2019,490.3,511.33,4.29,0.53,3.26,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,47896.0,62498,79.0,89,123.15,148.5,Crecimiento medio,True
39,Cantabria,2019-2024,Comparacion exacta,2019.0,2024,455.88,539.1,83.22,18.26,3.41,18.26,3.41,2021,467.39,15.34,4.87,2011,2019,447.59,455.88,1.85,0.23,4.64,Aceleracion reciente,El ritmo 2021-final supera claramente el tramo 2011-2019.,True,2011,14,24336.0,29444,65.0,69,73.52,85.22,Crecimiento medio,True
24,León,2019-2024,Comparacion exacta,2019.0,2024,369.03,435.63,66.6,18.05,3.37,18.05,3.37,2021,388.15,12.23,3.92,2011,2019,347.08,369.03,6.32,0.77,3.15,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,18833.0,22248,45.0,54,77.62,85.54,Crecimiento medio,True
13,Ciudad Real,2019-2024,Comparacion exacta,2019.0,2024,333.55,393.45,59.9,17.96,3.36,17.96,3.36,2021,352.21,11.71,3.76,2011,2019,357.75,333.55,-6.76,-0.87,4.63,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,10845.0,14877,33.0,39,57.13,57.62,Crecimiento medio,True
21,Huelva,2019-2024,Comparacion exacta,2019.0,2024,394.88,463.88,69.0,17.47,3.27,17.47,3.27,2021,414.82,11.83,3.8,2011,2019,394.56,394.88,0.08,0.01,3.79,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,7964.0,10734,40.0,44,52.94,70.5,Crecimiento medio,True
47,Valladolid,2019-2024,Comparacion exacta,2019.0,2024,438.14,514.69,76.55,17.47,3.27,17.47,3.27,2021,460.88,11.67,3.75,2011,2019,424.42,438.14,3.23,0.4,3.35,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,24744.0,29847,37.0,39,104.1,105.87,Crecimiento bajo,True
35,"Palmas, Las",2019-2024,Comparacion exacta,2019.0,2024,473.41,555.53,82.11,17.35,3.25,17.35,3.25,2021,486.77,14.13,4.5,2011,2019,413.75,473.41,14.42,1.7,2.8,Subida sostenida,Crecimiento antes de 2019 y tambien en el tramo reciente.,True,2011,14,53809.0,63030,32.0,32,83.98,85.16,Crecimiento bajo,True
02,Albacete,2019-2024,Comparacion exacta,2019.0,2024,404.85,474.12,69.27,17.11,3.21,17.11,3.21,2021,415.78,14.03,4.47,2011,2019,410.22,404.85,-1.31,-0.16,4.64,Rebote post-2021,Venia de caidas o estancamiento y repunta desde 2021.,True,2011,14,11865.0,14821,33.0,36,62.0,70.37,Crecimiento bajo,True
28,Madrid,2019-2024,Comparacion exacta,2019.0,2024,710.06,831.1,121.03,17.05,3.2,17.05,3.2,2021,734.27,13.19,4.22,2011,2019,673.36,710.06,5.45,0.67,3.55,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,421129.0,499787,158.0,163,177.92,227.6,Crecimiento bajo,True
08,Barcelona,2019-2024,Comparacion exacta,2019.0,2024,665.68,779.0,113.33,17.02,3.19,17.02,3.19,2021,695.91,11.94,3.83,2011,2019,605.49,665.68,9.94,1.19,2.64,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,350561.0,394862,261.0,264,205.65,228.31,Crecimiento bajo,True
