COD_PROVINCIA,province_name,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,annual_mean_c,monthly_std_c,monthly_range_c,seasonal_range_c,annual_anomaly_c,climate_comfort_score,area_km2,latitude,longitude,start_year,end_year
14,Cordoba,7.407999999999999,8.940801886792451,11.731999999999998,14.583666666666666,18.86666666666667,24.226,28.03,28.07733333333333,23.18766666666667,18.007333333333335,11.48633333333333,8.478333333333333,8.255572378138849,15.065963768115944,26.805514492753638,17.56535531135531,16.96247399160431,7.26,20.67,18.549942114614787,2.6615927246690188,99.5,13773.127912613325,37.95618422350003,-4.847113605074618,1995,2024
03,Alicante/Alacant,8.854666666666667,9.754610849056604,12.124333333333333,14.646333333333336,18.454,22.918666666666667,25.76533333333333,25.80233333333333,22.186666666666664,18.247000000000003,12.746,9.823000000000002,9.469032496307236,15.079547101449272,24.849539855072468,17.732274725274724,16.81470432560687,6.04,16.95,15.380507358765232,2.513823058671578,97.6,5819.5662353186835,38.36507480700004,-0.7481201181065553,1995,2024
04,Almeria,8.287,9.345978773584903,11.750999999999998,14.458666666666668,18.426000000000005,23.12133333333333,26.211333333333336,26.049000000000003,21.93133333333333,17.75266666666667,12.098333333333333,9.263666666666666,8.954028803545054,14.883119565217392,25.14902536231885,17.266183150183153,16.597272312465773,6.33,17.92,16.194996558773795,2.2963910455304823,94.9,8779.341109137386,37.30177367000008,-2.1845796382006686,1995,2024
46,Valencia/Valencia,8.260000000000002,9.285058962264152,11.815333333333331,14.495666666666668,18.468,23.18433333333333,26.20233333333333,26.015666666666675,21.91633333333333,17.83366666666667,12.08633333333333,9.11133333333333,8.873364106351554,14.931014492753627,25.155304347826096,17.28487545787546,16.595639715276498,6.35,17.94,16.281940241474544,2.2947584483412076,94.9,10810.483403106335,39.33404678750006,-0.8019770714363135,1995,2024
23,Jaen,6.772999999999999,8.26494103773585,11.144333333333336,14.068,18.64733333333333,24.361666666666668,28.185,27.916333333333327,22.70966666666667,17.568333333333335,10.794333333333332,7.867333333333332,7.61601920236337,14.625887681159425,26.84773188405797,17.030091575091564,16.57086329622195,7.51,21.41,19.231712681694603,2.269982029286661,94.5,13496.67055110156,37.95618422350003,-3.493297130930164,1995,2024
29,Malaga,8.414333333333332,9.479646226415095,11.673333333333334,14.055666666666667,17.943333333333335,22.78033333333333,26.18133333333333,26.16133333333333,21.86733333333333,17.619666666666667,12.044666666666666,9.513333333333335,9.125358197932051,14.562898550724634,25.06557246376811,17.182084249084255,16.516986676400798,6.27,17.77,15.940214265836058,2.2161054094655075,93.8,7311.463828304179,36.79629998300004,-4.5467261235657,1995,2024
11,Cadiz,10.336333333333334,11.227158018867923,13.145666666666669,15.251666666666669,18.60966666666667,22.56033333333333,25.622,25.96633333333333,22.499333333333336,18.955,13.964666666666671,11.524333333333336,11.023282865583456,15.67353623188405,24.73965579710145,18.478296703296696,17.50658970615077,5.44,15.63,13.716372931517993,3.2057084392154795,93.5,7439.866610157672,36.53225553000004,-5.920571285172713,1995,2024
17,Girona,9.239666666666666,9.717971698113203,11.740999999999998,13.98966666666667,17.441333333333333,21.59866666666667,24.21733333333333,24.434666666666672,21.06933333333334,17.796333333333333,12.979666666666663,10.186333333333335,9.714556868537668,14.39502536231884,23.436652173913032,17.28743223443224,16.23627851797774,5.41,15.2,13.722095305375364,1.9353972510424509,90.3,5911.237192293516,42.07196881500008,2.843435312365196,1995,2024
06,Badajoz,6.838,8.13064858490566,10.818,13.624333333333334,17.904999999999998,23.46766666666667,27.09733333333333,26.94466666666668,22.363666666666678,17.176333333333332,10.762333333333334,7.842333333333336,7.5877031019202335,14.121119565217391,25.86230434782609,16.771937728937726,16.124214272677488,7.17,20.26,18.274601245905856,1.8233330057421977,88.8,21765.68162532716,38.69706508000005,-6.220354224100653,1995,2024
43,Tarragona,7.704999999999998,8.728962264150944,11.369666666666664,14.000333333333334,17.886333333333333,22.47133333333333,25.197,25.20633333333333,21.33766666666667,17.374000000000002,11.618333333333336,8.445666666666668,8.280014771048746,14.423326086956513,24.311340579710137,16.783230769230766,15.983590071180874,6.25,17.5,16.031325808661393,1.6827088042455838,87.1,6302.490894137967,41.05338650550007,0.6270863050618757,1995,2024
