COD_PROVINCIA,province_name,ccaa,population,households,coverage_1gbps_2023_pct,coverage_1gbps_pct,coverage_change_pp,year
28,Madrid,MADRID (COMUNIDAD DE),6859914,2543639,98.80907677892387,98.3901017400661,-0.41897503885776644,2024
08,Barcelona,CATALUÑA,5805500,2197181,98.26038601155223,98.15586426425497,-0.10452174729725527,2024
52,Melilla,CIUDAD AUTÓNOMA DE MELILLA,85491,25008,57.865347798340785,98.0806142034549,40.215266405114114,2024
01,Araba/Álava,PAIS VASCO,336686,140925,96.34400443223973,97.54763171899947,1.2036272867597404,2024
41,Sevilla,ANDALUCÍA,1957210,723197,95.97279712873943,97.26782605569437,1.2950289269549415,2024
46,Valencia/València,COMUNITAT VALENCIANA,2656291,1029839,95.6177526892056,97.09041898782237,1.4726662986167725,2024
47,Valladolid,CASTILLA Y LEÓN,521071,216054,94.35747701391428,97.05027446841993,2.6927974545056514,2024
26,"Rioja, La",RIOJA (LA),322490,132227,96.43000279792197,96.96809274958972,0.5380899516677431,2024
39,Cantabria,CANTABRIA,588419,237799,96.5925433764224,96.6366553265573,0.04411195013490499,2024
13,Ciudad Real,CASTILLA-LA MANCHA,491127,193853,95.76137418755803,96.16358787328542,0.40221368572738925,2024
45,Toledo,CASTILLA-LA MANCHA,728496,269319,96.82687595598391,95.95164099079531,-0.8752349651885964,2024
20,Gipuzkoa,PAIS VASCO,728027,300448,94.15930680703805,95.94039567579082,1.781088868752775,2024
06,Badajoz,EXTREMADURA,665089,265977,87.5833677957818,95.14168518330533,7.55831738752353,2024
02,Albacete,CASTILLA-LA MANCHA,387174,150906,90.82752140597911,94.87495527016819,4.047433864189074,2024
17,Girona,CATALUÑA,809266,298791,94.06708202557736,94.80171758854851,0.7346355629711496,2024
34,Palencia,CASTILLA Y LEÓN,157752,68345,88.39485581354519,94.62286926622284,6.228013452677644,2024
14,Córdoba,ANDALUCÍA,773997,299020,91.21487321228994,94.51708915791586,3.3022159456259175,2024
12,Castellón/Castelló,COMUNITAT VALENCIANA,603952,237998,93.47477276163913,94.20541349086967,0.7306407292305437,2024
31,Navarra,NAVARRA (COMUNIDAD FORAL),671746,246994,89.56187114280911,94.09783233600815,4.535961193199043,2024
29,Málaga,ANDALUCÍA,1751600,659692,92.73415810976276,94.09406207745434,1.3599039676915794,2024
43,Tarragona,CATALUÑA,847566,322622,94.44255007842676,93.94585614124269,-0.4966939371840766,2024
50,Zaragoza,ARAGÓN,977413,394782,93.74574137446268,93.77149920715738,0.025757832694694116,2024
51,Ceuta,CIUDAD AUTÓNOMA DE CEUTA,83039,24703,97.13472789933478,93.49471724082096,-3.640010658513816,2024
21,Huelva,ANDALUCÍA,530824,200378,88.08461807114703,93.2732136262464,5.1885955550993685,2024
23,Jaén,ANDALUCÍA,620242,246069,94.1492818613115,93.01009066562631,-1.1391911956851857,2024
30,Murcia,MURCIA (REGIÓN DE),1552457,539860,87.24383025849393,92.94946838069129,5.705638122197357,2024
16,Cuenca,CASTILLA-LA MANCHA,197139,80882,89.8154325105626,92.89335080734898,3.077918296786379,2024
35,"Palmas, Las",CANARIAS,1140258,420114,93.8255591585599,92.83599213546799,-0.989567023091908,2024
11,Cádiz,ANDALUCÍA,1250539,467661,92.58333493562012,92.66883490391544,0.08549996829532347,2024
07,"Balears, Illes",BALEARS (ILLES),1197261,441242,89.88354441851509,92.4590134212065,2.5754690026914204,2024
03,Alicante/Alacant,COMUNITAT VALENCIANA,1950357,753038,83.6151660000823,92.44035493560749,8.82518893552519,2024
25,Lleida,CATALUÑA,446793,169747,92.79377459412333,92.42637572387142,-0.3673988702519182,2024
18,Granada,ANDALUCÍA,930181,367765,92.48446157945394,92.4122741424551,-0.07218743699883134,2024
04,Almería,ANDALUCÍA,753920,274663,91.74890340898749,91.99746598558961,0.24856257660212577,2024
49,Zamora,CASTILLA Y LEÓN,166366,76014,86.36776136677496,91.60286263056805,5.235101263793098,2024
09,Burgos,CASTILLA Y LEÓN,357180,152169,89.84161158408108,90.44614868994341,0.6045371058623346,2024
40,Segovia,CASTILLA Y LEÓN,155258,63348,90.10197960407919,89.4235019258698,-0.67847767820939,2024
38,Santa Cruz de Tenerife,CANARIAS,1061790,396501,91.19677123352594,89.21566402102391,-1.9811072125020246,2024
24,León,CASTILLA Y LEÓN,447463,198480,87.76556887283427,88.53033051189037,0.7647616390561041,2024
19,Guadalajara,CASTILLA-LA MANCHA,274598,104305,88.18110356992216,88.38694214083696,0.20583857091480695,2024
10,Cáceres,EXTREMADURA,387434,168065,81.98405616039027,88.30452503495671,6.320468874566444,2024
33,Asturias,ASTURIAS (PRINCIPADO DE),1005283,446365,83.64518845695548,88.16932331163957,4.5241348546840925,2024
48,Bizkaia,PAIS VASCO,1154306,483378,95.0124981886683,87.21145769977119,-7.801040488897115,2024
15,"Coruña, A",GALICIA,1123426,451351,81.30109645687101,85.77736617399762,4.476269717126613,2024
36,Pontevedra,GALICIA,944245,362056,83.14440895622488,85.00176768234749,1.8573587261226123,2024
05,Ávila,CASTILLA Y LEÓN,158407,69720,78.54141871836418,84.90103270223753,6.359613983873345,2024
37,Salamanca,CASTILLA Y LEÓN,327170,143005,80.7291047957123,84.08307401839097,3.3539692226786713,2024
42,Soria,CASTILLA Y LEÓN,89482,37969,81.97740261792515,82.57262503621375,0.5952224182885999,2024
44,Teruel,ARAGÓN,135237,54614,77.88641107327254,81.59629399055187,3.70988291727933,2024
22,Huesca,ARAGÓN,227077,90221,77.35439179828208,79.20439808913667,1.8500062908545942,2024
32,Ourense,GALICIA,304550,133564,77.710622299114,78.14680602557576,0.4361837264617634,2024
27,Lugo,GALICIA,323956,137472,70.11103112798028,77.0476897113594,6.9366585833791135,2024
