rank_tech,COD_PROVINCIA,province_name,ccaa,recommendation,tech_destination_index,index_class,rent_eur_month,mobility_score,mobility_label,transport_nodes,weighted_transport_nodes,high_speed_nodes,long_distance_nodes,medium_distance_nodes,av_ld_md_nodes,cercanias_nodes,feve_nodes,airport_nodes,nodes_per_100k,nearest_strategic_km,nearest_strategic_label,strategic_access_score,node_mass_score,node_density_score,rental_homes,rental_homes_per_1000_households,municipalities,coverage_1gbps_2024_pct,annual_mean_c,precipitation_annual_mm,temperature_comfort_score,rain_comfort_score,climate_comfort_score,rent_score_low_price,availability_score,connectivity_score,climate_score,rent_contribution,mobility_contribution,connectivity_contribution,climate_contribution,population,households,label_lat,label_lon,area_km2,year
14,44,Teruel,ARAGÓN,Buen equilibrio general,76.85,Quintil 4 - equilibrio alto,406.39,62.03,62.0 / 100,19,38.0,0,0,19,19,0,0,0,28.1,21.52,22 km,78.48,46.48,52.23,5638,103.23,30,81.6,11.17,395.08,25.71,90.33,45.09,91.69,34.21,81.6,45.09,37.75,14.6,19.2,5.31,135237,54614,40.5666862258921,-1.0351186816982716,14808.7,2024
15,30,Murcia,MURCIA (REGIÓN DE),Buen equilibrio general,76.56,Quintil 4 - equilibrio alto,460.06,54.92,54.9 / 100,60,78.0,2,10,4,16,28,15,1,5.02,29.1,29 km,70.9,60.88,8.52,59178,109.62,40,92.95,14.94,277.82,73.82,76.57,74.65,80.1,38.6,92.95,74.65,32.98,12.92,21.87,8.78,1552457,539860,38.03184843929366,-1.6486465095919138,11316.1,2024
16,32,Ourense,GALICIA,Buen equilibrio general,75.48,Quintil 4 - equilibrio alto,386.38,56.44,56.4 / 100,23,45.0,3,4,15,22,1,0,0,14.78,25.34,25 km,74.66,49.85,26.99,14972,112.1,43,78.15,11.85,980.44,34.4,40.98,36.37,96.01,40.31,78.15,36.37,39.53,13.28,18.39,4.28,304550,133564,42.24518072543013,-7.480131077030379,7274.0,2024
17,02,Albacete,CASTILLA-LA MANCHA,Buen equilibrio general,75.37,Quintil 4 - equilibrio alto,474.12,51.47,51.5 / 100,12,25.0,1,3,7,11,0,0,1,6.46,20.33,20 km,79.67,38.2,11.23,14821,98.21,36,94.87,15.24,305.49,77.55,79.82,78.23,77.06,30.75,94.87,78.23,31.73,12.11,22.32,9.2,387174,150906,38.772774658671295,-1.7977273847698736,14924.0,2024
18,45,Toledo,CASTILLA-LA MANCHA,Buen equilibrio general,75.16,Quintil 4 - equilibrio alto,490.07,54.38,54.4 / 100,14,28.0,1,3,10,14,0,0,0,3.84,13.38,13 km,86.62,40.43,6.28,31226,115.94,137,95.95,15.15,393.34,76.4,90.13,80.52,73.62,42.96,95.95,80.52,30.31,12.8,22.58,9.47,728496,269319,39.79023488425918,-4.137976675570367,15365.6,2024
19,03,Alicante,COMUNITAT VALENCIANA,Buen equilibrio general,74.62,Quintil 4 - equilibrio alto,528.2,63.88,63.9 / 100,45,77.0,5,6,19,30,14,0,1,3.95,8.07,8 km,91.93,60.62,6.48,89563,118.94,107,92.44,16.81,319.24,97.64,81.43,92.78,65.39,45.02,92.44,92.78,26.92,15.03,21.75,10.91,1950357,753038,38.34487490456367,-0.6973244237728201,5819.6,2024
20,15,"Coruña, A",GALICIA,Buen equilibrio general,74.39,Quintil 4 - equilibrio alto,461.95,70.9,70.9 / 100,112,176.0,3,2,55,60,24,26,2,15.67,15.35,15 km,84.65,77.35,28.68,72627,160.91,89,85.78,13.51,1298.09,55.57,3.71,40.01,79.69,73.93,85.78,40.01,32.81,16.68,20.18,4.71,1123426,451351,43.11935874280309,-8.598483675830636,7947.0,2024
21,50,Zaragoza,ARAGÓN,Buen equilibrio general,74.38,Quintil 4 - equilibrio alto,531.12,72.65,72.7 / 100,59,113.0,2,2,48,52,6,0,1,11.56,1.01,1 km,98.99,68.37,20.9,66802,169.21,76,93.77,14.04,454.08,62.28,97.25,72.77,64.76,79.65,93.77,72.77,26.66,17.09,22.06,8.56,977413,394782,41.81411096629304,-1.1989305380422057,17276.7,2024
22,22,Huesca,ARAGÓN,Buen equilibrio general,73.82,Quintil 3 - equilibrio medio,456.5,55.65,55.6 / 100,19,39.0,2,0,16,18,0,0,1,17.17,26.89,27 km,73.11,46.99,31.54,13351,147.98,58,79.2,14.2,466.55,64.4,98.72,74.69,80.87,65.02,79.2,74.69,33.3,13.09,18.64,8.79,227077,90221,42.169970738434614,-0.016303779063651064,15633.2,2024
23,05,Ávila,CASTILLA Y LEÓN,Buen equilibrio general,73.75,Quintil 3 - equilibrio medio,426.15,52.37,52.4 / 100,10,20.0,0,0,10,10,0,0,0,12.63,20.13,20 km,79.87,33.84,22.92,7522,107.89,33,84.9,11.24,412.27,26.64,92.35,46.35,87.42,37.41,84.9,46.35,36.0,12.32,19.98,5.45,158407,69720,40.64068122908034,-4.9794398612244635,8051.9,2024
