COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,median_rent_eur,p25_rent_eur,p75_rent_eur,iqr_rent_eur,rental_homes,dwelling_types,year,lon,lat
28,Madrid,28022,Boadilla del Monte,1408.8318356867778,1078.0119811724433,1744.8472400513479,666.8352588789046,2337,2,2024,-3.8950394048789776,40.41552568550003
28,Madrid,28115,Pozuelo de Alarcón,1360.6529032258065,915.1096774193549,1821.9716129032258,906.861935483871,4650,2,2024,-3.8132219439726383,40.425292056000046
10,Cáceres,10085,"Gordo, El",1300.0,400.0,1500.0,1100.0,11,1,2024,-5.403430712335081,39.83553638550006
07,"Balears, Illes",07050,Sant Joan de Labritja,1221.5632183908046,789.6551724137931,1938.0459770114942,1148.390804597701,522,2,2024,1.4603778438727502,39.05567218300004
17,Girona,17024,Bolvir,1176.0,733.0,1652.0,919.0,25,1,2024,1.88279719846981,42.422479499000076
28,Madrid,28080,Majadahonda,1169.8465001125367,876.4821066846725,1497.7296871483231,621.2475804636506,4443,2,2024,-3.887140627415124,40.471657667000045
08,Barcelona,08120,Matadepera,1169.834808259587,861.1622418879056,1444.1799410029498,583.0176991150443,339,2,2024,2.005267769853732,41.62770107600005
08,Barcelona,08221,Sant Just Desvern,1166.818345323741,860.919964028777,1585.2347122302158,724.3147482014388,1112,2,2024,2.0762480487854074,41.39121448950007
08,Barcelona,08205,Sant Cugat del Vallès,1143.607970192775,849.658188887089,1544.128624655759,694.4704357686701,6173,2,2024,2.0651994109367102,41.46645099350005
29,Málaga,29023,Benahavís,1134.6211453744493,791.2731277533039,1687.7224669603524,896.4493392070485,227,2,2024,-5.0482455176484375,36.55033468900004
08,Barcelona,08264,Sant Vicenç de Montalt,1123.8857142857144,829.6571428571428,1523.8285714285714,694.1714285714286,385,2,2024,2.5085146156670253,41.58668524150005
08,Barcelona,08003,Alella,1105.6380597014925,803.223880597015,1561.9402985074628,758.7164179104478,536,2,2024,2.2920424263486634,41.49725249900004
28,Madrid,28152,Torrelodones,1097.6165938864629,841.917903930131,1386.850655021834,544.9327510917029,1145,2,2024,-3.92710094381008,40.56900530350006
08,Barcelona,08282,Tiana,1090.0,799.0909090909091,1355.3636363636363,556.2727272727271,440,2,2024,2.2689115172708747,41.48558774900005
08,Barcelona,08030,Cabrils,1078.6931506849314,810.8657534246576,1404.1753424657534,593.3095890410958,365,2,2024,2.3722350983416645,41.52342340850004
28,Madrid,28127,"Rozas de Madrid, Las",1051.2184130049895,809.2547883470144,1354.3536133912764,545.0988250442621,6213,2,2024,-3.8975090680596605,40.52651475650006
