CODIGO,DESCRIPCION,mode,COD_PROVINCIA,POBLACION,node_weight,source,LATITUD,LONGITUD
11210,ALEGRÍA-DULANTZI,Cercanias,01,ALEGRÍA-DULANTZI,1.0,Renfe Data,42.848723,-2.514668
11212,AGURAIN-SALVATIERRA DE ÁLAVA,Cercanias,01,SALVATIERRA/AGURAIN,1.0,Renfe Data,42.84643,-2.38921
11213,ARAIA,Cercanias,01,ZALDUONDO,1.0,Renfe Data,42.869599,-2.306807
11300,ALTSASU,Cercanias,31,ALTSASU/ALSASUA,1.0,Renfe Data,42.894847,-2.181237
11305,BRINKOLA,Cercanias,20,LEGAZPI,1.0,Renfe Data,43.0189865,-2.3346811
11306,LEGAZPI,Cercanias,20,LEGAZPI,1.0,Renfe Data,43.0510385,-2.3306103
11400,ZUMARRAGA,Cercanias,20,ZUMARRAGA,1.0,Renfe Data,43.0870824,-2.3202298
11402,ORMÁIZTEGUI,Cercanias,20,ORMAIZTEGI,1.0,Renfe Data,43.0402752,-2.256462
11404,BEASAIN,Cercanias,20,BEASAIN,1.0,Renfe Data,43.0462687,-2.2022994
11405,ORDIZIA,Cercanias,20,ORDIZIA,1.0,Renfe Data,43.0527547,-2.1791923
11500,TOLOSA,Cercanias,20,TOLOSA,1.0,Renfe Data,43.1354472,-2.0790886
11501,TOLOSA-CENTRO,Cercanias,20,TOLOSA,1.0,Renfe Data,43.1393963,-2.0741122
11503,BILLABONA-ZIZURKIL,Cercanias,20,VILLABONA,1.0,Renfe Data,43.1891906,-2.0553722
11504,ANDOAIN-CENTRO,Cercanias,20,ANDOAIN,1.0,Renfe Data,43.2155738,-2.0204595
11505,ANDOAIN,Cercanias,20,ANDOAIN,1.0,Renfe Data,43.2220458,-2.0156757
11507,HERNANI-ERDIA,Cercanias,20,HERNANI,1.0,Renfe Data,43.2664779,-1.9726232
11511,SAN SEBASTIÁN-DONOSTIA,Cercanias,20,DONOSTIA/SAN SEBASTIÁN,1.0,Renfe Data,43.3176961,-1.9767172
11512,GROS,Cercanias,20,DONOSTIA/SAN SEBASTIÁN,1.0,Renfe Data,43.3218457,-1.9738835
11513,ATEGORRIETA,Cercanias,20,DONOSTIA/SAN SEBASTIÁN,1.0,Renfe Data,43.3203225,-1.9598127
11514,HERRERA,Cercanias,20,DONOSTIA/SAN SEBASTIÁN,1.0,Renfe Data,43.3193537,-1.9370173
11515,PASAIA,Cercanias,20,PASAIA,1.0,Renfe Data,43.3189428,-1.9171727
11516,LEZO-RENTERÍA,Cercanias,20,LEZO,1.0,Renfe Data,43.3159364,-1.8994386
11522,INTXAURRONDO,Cercanias,20,DONOSTIA/SAN SEBASTIÁN,1.0,Renfe Data,43.3200487,-1.9517673
11600,IRUN,Cercanias,20,IRUN,1.0,Renfe Data,43.3395365,-1.8012519
12001,LOS NEGRALES,Cercanias,28,ALPEDRETE,1.0,Renfe Data,40.638567,-4.0218746
12002,ALPEDRETE,Cercanias,28,ALPEDRETE,1.0,Renfe Data,40.6581044,-4.0349719
12004,COLLADO MEDIANO,Cercanias,28,COLLADO MEDIANO,1.0,Renfe Data,40.6928982,-4.0359271
12005,LOS MOLINOS-GUADARRAMA,Cercanias,28,MOLINOS (LOS),1.0,Renfe Data,40.7066407,-4.0671991
12006,CERCEDILLA,Cercanias,28,CERCEDILLA,1.0,Renfe Data,40.7376129,-4.0662985
12020,PUERTO DE NAVACERRADA,Cercanias,28,CERCEDILLA,1.0,Renfe Data,40.7844678,-4.0047744
12023,LOS COTOS,Cercanias,40,REAL SITIO DE SAN ILDEFONSO,1.0,Renfe Data,40.8223419,-3.9644961
13106,LLODIO,Cercanias,01,LAUDIO/LLODIO,1.0,Renfe Data,43.1423514,-2.9606511
13119,LA PEÑA DE BILBAO,Cercanias,48,BILBAO,1.0,Renfe Data,43.2401669,-2.9240429
13120,MIRIBILLA,Cercanias,48,BILBAO,1.0,Renfe Data,43.250429,-2.9305155
13200,BILBAO-INTERMOD. ABANDO INDALECIO PRIETO,Cercanias,48,BILBAO,1.0,Renfe Data,43.2601304,-2.9285592
13206,AMETZOLA,Cercanias,48,BILBAO,1.0,Renfe Data,43.2547065,-2.9436598
14202,REINOSA,Cercanias,39,REINOSA,1.0,Renfe Data,42.9944991,-4.1409454
14203,LANTUENO-SANTIURDE,Cercanias,39,SANTIURDE DE REINOSA,1.0,Renfe Data,43.0580731,-4.0840131
14204,PESQUERA,Cercanias,39,PESQUERA,1.0,Renfe Data,43.082333,-4.0738143
14206,BÁRCENA,Cercanias,39,BÁRCENA DE PIE DE CONCHA,1.0,Renfe Data,43.1287054,-4.053473
14207,MOLLEDO-PORTOLÍN,Cercanias,39,MOLLEDO,1.0,Renfe Data,43.1456269,-4.0390334
14208,SANTA CRUZ DE IGUÑA,Cercanias,39,MOLLEDO,1.0,Renfe Data,43.1701216,-4.0450627
14209,LAS FRAGUAS,Cercanias,39,ARROYO DE LAS FRAGUAS,1.0,Renfe Data,43.193219,-4.0541127
14210,LOS CORRALES DE BUELNA,Cercanias,39,CORRALES DE BUELNA (LOS),1.0,Renfe Data,43.2551009,-4.0639472
14211,LAS CALDAS DE BESAYA,Cercanias,39,CORRALES DE BUELNA (LOS),1.0,Renfe Data,43.2985945,-4.073252
14212,VIÉRNOLES,Cercanias,39,TORRELAVEGA,1.0,Renfe Data,43.3245636,-4.0540441
14213,TORRELAVEGA,Cercanias,39,TORRELAVEGA,1.0,Renfe Data,43.3276776,-4.0426871
14214,SIERRAPANDO,Cercanias,39,TORRELAVEGA,1.0,Renfe Data,43.3417845,-4.0266342
14216,RENEDO,Cercanias,39,PIÉLAGOS,1.0,Renfe Data,43.3531069,-3.9496471
14217,PARBAYÓN,Cercanias,39,PIÉLAGOS,1.0,Renfe Data,43.3767446,-3.8942201
14218,GUARNIZO,Cercanias,39,ASTILLERO (EL),1.0,Renfe Data,43.3915101,-3.859545
14219,BOO,Cercanias,39,ASTILLERO (EL),1.0,Renfe Data,43.4104796,-3.8415883
14220,MALIAÑO,Cercanias,39,CAMARGO,1.0,Renfe Data,43.4161415,-3.8410762
14223,SANTANDER,Cercanias,39,SANTANDER,1.0,Renfe Data,43.4583981,-3.8109529
14230,VALDECILLA,Cercanias,39,SANTANDER,1.0,Renfe Data,43.4540888,-3.8277628
14231,NUEVA MONTAÑA,Cercanias,39,SANTANDER,1.0,Renfe Data,43.4401137,-3.8493866
14232,LOMBERA,Cercanias,39,CORRALES DE BUELNA (LOS),1.0,Renfe Data,43.2658249,-4.0675902
14233,RÍO EBRO,Cercanias,39,CAMPOO DE ENMEDIO,1.0,Renfe Data,43.0007554,-4.1344006
14234,PUJAYO,Cercanias,39,BÁRCENA DE PIE DE CONCHA,1.0,Renfe Data,43.1228745,-4.0823753
14235,ARENAS DE IGUÑA,Cercanias,39,ARENAS DE IGUÑA,1.0,Renfe Data,43.1850828,-4.0500754
14236,VIOÑO,Cercanias,39,PIÉLAGOS,1.0,Renfe Data,43.360647,-3.9648063
14237,MURIEDAS-BAHÍA,Cercanias,39,CAMARGO,1.0,Renfe Data,43.4216858,-3.8441175
15118,PUENTE DE LOS FIERROS,Cercanias,33,LENA,1.0,Renfe Data,43.0715986,-5.769465
15119,LA FRECHA,Cercanias,33,LENA,1.0,Renfe Data,43.096167,-5.7985997
15120,CAMPOMANES,Cercanias,33,LENA,1.0,Renfe Data,43.1100681,-5.8164466
15121,LA COBERTORIA,Cercanias,33,LENA,1.0,Renfe Data,43.1301608,-5.8160304
15122,POLA DE LENA,Cercanias,33,LENA,1.0,Renfe Data,43.15872,-5.8310263
15123,VILLALLANA,Cercanias,33,LENA,1.0,Renfe Data,43.1838568,-5.8145928
15200,UJO,Cercanias,33,MIERES,1.0,Renfe Data,43.2046962,-5.7926422
15202,SANTULLANO,Cercanias,33,MIERES,1.0,Renfe Data,43.220899,-5.7855868
15203,MIERES-PUENTE,Cercanias,33,MIERES,1.0,Renfe Data,43.2500266,-5.7822622
