stop_a_id,stop_b_id,stop_a,stop_b,distance_km,services,route_count,route_ids,source
50500,51003,Cordoba,Sevilla-Santa Justa,118.0,"AVANT, AVE, AVLO",14,"0321651003AV006, 0500051003AV008, 5050051003AV008, 5100303216AV006, 5100305000AV008, 5100350500AV008, 5100354413AV008, 5100360000AV006, 5100360000LC112, 5100371801AV006, 5441351003AV008, 6000051003AV006, 6000051003LC112, 7180151003AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,60600,Cuenca Fernando Zobel,Albacete-Los Llanos,117.9,"AVANT, AVE, AVLO",17,"1060060911AV006, 1060060911LC112, 1510060911AV006, 1700060911AV006, 1700061200LC112, 2210060911AV006, 6000060911AV006, 6000061200AV006, 6060092102AV008, 6091115100AV006, 6091117000AV006, 6091117000LC112, 6091122100AV006, 6091160000AV006, 6120010600LC112, 6120060000AV006, 9210260600AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,60000,Cuenca Fernando Zobel,Madrid Pta.Atocha - Almudena Grandes,137.6,"AVANT, AVE",10,"0321360000AV006, 6000003213AV006, 6000060911AV006, 6000061200AV006, 6000065300AV006, 6060092102AV008, 6091160000AV006, 6120060000AV006, 6530060000AV006, 9210260600AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,17000,Cuenca Fernando Zobel,Madrid-Chamartín-Clara Campoamor,139.3,"AVE, AVLO",23,"0321317000AV006, 0321317000LC112, 0321615100AV006, 0321617000AV006, 0321617000LC112, 1060060911AV006, 1060060911LC112, 1510003216AV006, 1510060911AV006, 1541065300AV006, 1700003213AV006, 1700003213LC112, 1700003216AV006, 1700003216LC112, 1700060911AV006, 1700061200LC112, 2210060911AV006, 6091115100AV006, 6091117000AV006, 6091117000LC112, 6091122100AV006, 6120010600LC112, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,03213,Cuenca Fernando Zobel,Requena Utiel,104.1,"AVE, AVLO",14,"0321317000AV006, 0321317000LC112, 0321360000AV006, 0321615100AV006, 0321617000AV006, 0321617000LC112, 1510003216AV006, 1700003213AV006, 1700003213LC112, 1700003216AV006, 1700003216LC112, 6000003213AV006, 6000065300AV006, 6530060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03208,03216,Cuenca Fernando Zobel,Valencia Joaquin Sorolla,163.7,AVE,4,"0321651003AV006, 1541065300AV006, 5100303216AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03410,60911,ELX AV,Alicante/Alacant,26.1,"AVANT, AVE, AVLO",6,"1700061200LC112, 6000061200AV006, 6091161200VRD, 6120010600LC112, 6120060000AV006, 6120060911VRD",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03410,03412,ELX AV,CALLOSA DE SEGURA - COX,16.6,AVANT,2,"6091161200VRD, 6120060911VRD",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03410,62002,ELX AV,Orihuela-Miguel Hernández,24.3,"AVE, AVLO",8,"1101461200AV006, 1700061200AV006, 1700061200LC112, 6000061200AV006, 6120010600LC112, 6120011014AV006, 6120017000AV006, 6120060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04307,79300,Figueres Vilafant,Girona,33.4,"AVANT, AVE, AVE INT",8,"0430760000AV006, 0430771801AV008, 6000004307AV006, 6000087089AV016, 7180104307AV008, 7180187303AV016, 8708960000AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04307,87374,Figueres Vilafant,Perpignan,48.3,AVE INT,8,"0430787089AV016, 0430787303AV016, 6000087089AV016, 7180187303AV016, 8708904307AV016, 8708960000AV016, 8730304307AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
05000,05012,Granada,Loja,46.6,"AVANT, AVE",5,"0500051003AV008, 0500054413AV008, 0500060000AV006, 5100305000AV008, 5441305000AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04007,70600,Guadalajara - Yebes,Calatayud,150.6,AVE,7,"6000004307AV006, 6000070600AV006, 6000071801AV006, 6000074200AV006, 7060060000AV006, 7180160000AV006, 7420060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
04007,60000,Guadalajara - Yebes,Madrid Pta.Atocha - Almudena Grandes,52.0,"AVE, AVE INT",10,"6000004307AV006, 6000070600AV006, 6000071801AV006, 6000071801AV016, 6000074200AV006, 6000087089AV016, 7060060000AV006, 7180160000AV006, 7420060000AV006, 7840060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
74200,78200,Huesca,Tardienta,20.5,AVE,4,"0404074200AV006, 6000074200AV006, 7420004040AV006, 7420060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
65402,65404,L'Aldea-Amposta,L'ampolla-Perelló-Deltebre,10.2,AVANT EXP,2,"6540071801AV008, 7180165400AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
65420,65422,L'HOSPITALET DE L'INFANT,Cambrils,14.5,AVANT EXP,2,"6540071801AV008, 7180165400AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
65405,65420,L'ametlla De Mar,L'HOSPITALET DE L'INFANT,15.7,AVANT EXP,2,"6540071801AV008, 7180165400AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
65404,65405,L'ampolla-Perelló-Deltebre,L'ametlla De Mar,11.3,AVANT EXP,2,"6540071801AV008, 7180165400AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
15100,15211,Leon,Oviedo/Uviéu,88.5,"AVE, AVLO",5,"1541017000AV006, 1541017000LCLC, 1541065300AV006, 1700015410AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
15100,15122,Leon,Pola De Lena/La Pola,65.8,AVLO,3,"1510015410LC112, 1541017000LC112, 1700015410LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
87303,87810,Lyon Part Dieu,Valence,86.0,AVE INT,4,"0430787303AV016, 7180187303AV016, 8730304307AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
60000,92102,Madrid Pta.Atocha - Almudena Grandes,Toledo,66.4,AVANT,4,"6000092102AV008, 6060092102AV008, 9210260000AV008, 9210260600AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
87089,87912,Marseille St Charles,Aix en Provence,17.7,AVE INT,4,"0430787089AV016, 6000087089AV016, 8708904307AV016, 8708960000AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08240,17000,Medina del Campo Alta Velocidad,Madrid-Chamartín-Clara Campoamor,139.6,AVLO,2,"0822317000LC112, 1700008223LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08240,30200,Medina del Campo Alta Velocidad,Zamora,72.6,AVLO,6,"0822317000LC112, 1700008223LC112, 1700022100LC112, 1700031412LC112, 2210017000LC112, 3141217000LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
15203,15211,Mieres Puente,Oviedo/Uviéu,14.2,AVLO,3,"1510015410LC112, 1541017000LC112, 1700015410LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
87173,87302,Montpellier,NIMES,46.5,AVE INT,8,"0430787089AV016, 0430787303AV016, 6000087089AV016, 7180187303AV016, 8708904307AV016, 8708960000AV016, 8730304307AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
61200,62001,Murcia,Beniel,13.9,AVANT,2,"6091161200VRD, 6120060911VRD",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
61200,62002,Murcia,Orihuela-Miguel Hernández,20.0,"AVE, AVLO",8,"1101461200AV006, 1700061200AV006, 1700061200LC112, 6000061200AV006, 6120010600LC112, 6120011014AV006, 6120017000AV006, 6120060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
87302,87814,NIMES,Avignon,35.1,AVE INT,4,"0430787089AV016, 6000087089AV016, 8708904307AV016, 8708960000AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
