CMUN,COD_PROVINCIA,municipality_name_crime,population,crime_total,crime_rate_per_1000,safety_reading,lat,lon
30036,30,San Pedro del Pinatar,27691,1788,64.57,Presion alta,37.83,-0.79
30037,30,Torre-Pacheco,39037,1940,49.7,Presion media,37.78,-0.96
30038,30,Torres de Cotillas (Las),22183,883,39.81,Presion media-baja,38.02,-1.27
30039,30,Totana,33149,1484,44.77,Presion media,37.79,-1.52
30041,30,La Unión,20897,894,42.78,Presion media,37.61,-0.87
30043,30,Yecla,35521,981,27.62,Presion baja,38.6,-1.13
31060,31,Burlada/Burlata,20865,761,36.47,Presion media-baja,42.82,-1.61
31201,31,Pamplona/Iruña,205762,15488,75.27,Presion muy alta,42.82,-1.66
31232,31,Tudela,37791,2888,76.42,Presion muy alta,42.09,-1.62
31086,31,Valle de Egüés/Eguesibar,22121,698,31.55,Presion baja,42.83,-1.55
01059,01,Vitoria-Gasteiz,255886,12816,50.08,Presion media,42.85,-2.66
20055,20,Arrasate/Mondragón,21867,777,35.53,Presion media-baja,43.07,-2.5
20069,20,Donostia/San Sebastián,188743,11047,58.53,Presion alta,43.3,-1.98
20030,20,Eibar,27234,1795,65.91,Presion muy alta,43.19,-2.46
20067,20,Errenteria,39231,1748,44.56,Presion media,43.26,-1.88
20040,20,Hernani,20527,727,35.42,Presion media-baja,43.23,-1.93
20045,20,Irun,62920,4134,65.7,Presion muy alta,43.32,-1.79
20071,20,Tolosa,20065,1363,67.93,Presion muy alta,43.13,-2.09
20079,20,Zarautz,23152,821,35.46,Presion media-baja,43.27,-2.17
48013,48,Barakaldo,101229,5299,52.35,Presion alta,43.27,-3.01
48015,48,Basauri,40413,1929,47.73,Presion media,43.23,-2.89
48020,48,Bilbao,346096,23763,68.66,Presion muy alta,43.26,-2.93
48027,48,Durango,29767,1115,37.46,Presion media-baja,43.16,-2.67
48902,48,Erandio,24411,1481,60.67,Presion alta,43.32,-2.97
48036,48,Galdakao,29332,1193,40.67,Presion media-baja,43.24,-2.84
48044,48,Getxo,76104,2578,33.87,Presion media-baja,43.35,-3.01
48054,48,Leioa,32491,1051,32.35,Presion media-baja,43.33,-2.99
48078,48,Portugalete,44629,1679,37.62,Presion media-baja,43.32,-3.02
48082,48,Santurtzi,46057,1626,35.3,Presion media-baja,43.33,-3.05
48084,48,Sestao,27834,1486,53.39,Presion alta,43.31,-3.0
26036,26,Calahorra,24994,1372,54.89,Presion alta,42.31,-1.96
26089,26,Logroño,150583,5614,37.28,Presion media-baja,42.47,-2.47
