COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur,province_name,baseline_year,rent_index
02,Albacete,2019,11865,33,250.0,312.0,404.8545301306363,62.0,Albacete,2019,100.00111896520596
02,Albacete,2020,12549,35,254.12065217391304,318.16666666666663,408.9289983265599,64.04601449275359,Albacete,2019,101.00753324109174
02,Albacete,2021,13132,36,268.93589743589746,325.86392405063293,415.7766524520256,56.92802661473547,Albacete,2019,102.69893848388922
02,Albacete,2022,13563,37,262.0,325.0,438.67772616677723,63.0,Albacete,2019,108.35561965339686
02,Albacete,2023,14225,35,269.5,339.12687487158416,450.0842882249561,69.62687487158416,Albacete,2019,111.17309824007806
02,Albacete,2024,14821,36,275.5,345.86805555555554,474.1211794075973,70.36805555555554,Albacete,2019,117.11033207548407
03,Alicante,2019,64168,95,307.8644360124181,438.3393151077077,423.2048528861738,130.47487909528962,Alicante,2019,100.00114671223388
03,Alicante,2020,68680,97,315.82456140350877,432.8907922912206,436.32101048340127,117.06623088771181,Alicante,2019,103.10042780798707
03,Alicante,2021,72998,98,321.2498113207547,453.8228155339806,449.52439792871036,132.5730042132259,Alicante,2019,106.22032087162343
03,Alicante,2022,77930,100,332.2790178571429,474.0576070070725,469.4472603618632,141.7785891499296,Alicante,2019,110.92799157889017
03,Alicante,2023,84452,105,350.0,489.3859649122807,494.548536446739,139.3859649122807,Alicante,2019,116.8592950015924
03,Alicante,2024,89563,107,369.3046875,501.26666666666665,528.2014224624007,131.96197916666665,Alicante,2019,124.81130020378089
04,Almería,2019,18418,37,299.33734939759034,346.72046109510086,374.0838853295689,47.383111697510515,Almería,2019,100.00103863600538
04,Almería,2020,19700,39,297.4469469469469,369.3369565217391,389.16309644670054,71.8900095747922,Almería,2019,104.0320510176167
04,Almería,2021,20974,42,301.50742574257424,365.5650802752294,396.646133307905,64.05765453265514,Almería,2019,106.03243512294296
04,Almería,2022,21733,41,310.7371794871795,394.9738562091503,413.924676758846,84.23667672197081,Almería,2019,110.65137851765559
04,Almería,2023,23074,40,330.85493827160496,403.39814814814815,433.965805668718,72.54320987654319,Almería,2019,116.0088231578053
04,Almería,2024,24292,43,333.65430402930406,426.5453230472517,462.42581919973657,92.89101901794766,Almería,2019,123.61682506408698
05,Ávila,2019,5662,28,236.51470588235293,296.19079939668177,346.4676792652773,59.67609351432884,Ávila,2019,99.99933017729596
05,Ávila,2020,5953,29,235.0,300.0,358.2445825634134,65.0,Ávila,2019,103.39844216336577
05,Ávila,2021,6323,31,243.4186046511628,313.9923223652837,366.1089672623755,70.5737177141209,Ávila,2019,105.66830238184414
05,Ávila,2022,6599,29,256.74468085106383,313.70440251572325,382.25246249431734,56.95972166465941,Ávila,2019,110.32772317785589
05,Ávila,2023,7079,30,257.7225609756097,333.45222371967657,405.4252012996186,75.72966274406684,Ávila,2019,117.01596135296522
