COD_PROVINCIA,province_name,latitude,longitude,temperature_mean_c,start_year,end_year
01,Araba/Alava,42.84685163200004,-2.681504930102382,11.968857455740098,1995,2024
02,Albacete,38.72452034850005,-1.9543626415771804,15.237040518342752,1995,2024
03,Alicante/Alacant,38.36507480700004,-0.7481201181065553,16.81470432560687,1995,2024
04,Almeria,37.301773670000074,-2.1845796382006686,16.597272312465773,1995,2024
05,Avila,40.62552329400006,-4.835890534161348,11.239353896696477,1995,2024
06,Badajoz,38.697065080000044,-6.220354224100653,16.124214272677488,1995,2024
07,"Balears, Illes",39.61265576450003,2.8823125712618562,18.5425615988319,1995,2024
08,Barcelona,41.760116315500056,2.0307008309731724,12.714013506114252,1995,2024
09,Burgos,42.32538152850006,-3.67701500562906,10.351837926628953,1995,2024
10,Caceres,39.758940097500044,-6.137295340568468,15.843450447161901,1995,2024
11,Cadiz,36.53225553000004,-5.920571285172713,17.50658970615077,1995,2024
12,Castellon/Castello,40.25283130850005,-0.06020190301530279,14.038804526373424,1995,2024
13,Ciudad Real,38.96144028050006,-3.885563972559142,15.248784449717101,1995,2024
14,Cordoba,37.95618422350003,-4.847113605074618,16.96247399160431,1995,2024
15,"Coruna, A",43.15384420700005,-8.579850103766056,13.510610512867322,1995,2024
16,Cuenca,39.93968445450005,-2.1524468968601633,11.954189633144736,1995,2024
17,Girona,42.071968815000076,2.843435312365196,16.23627851797774,1995,2024
18,Granada,37.38960480700007,-3.2393785030417845,13.965139624018981,1995,2024
19,Guadalajara,40.74142346900004,-2.5050392600436364,12.501276692827165,1995,2024
20,Gipuzkoa,43.143589420500064,-2.205139585800379,11.968857455740098,1995,2024
21,Huelva,37.50755725950003,-6.924822497255386,18.036039423252408,1995,2024
22,Huesca,42.13716720950006,-0.028957152118629204,14.20425807629129,1995,2024
23,Jaen,37.95618422350003,-3.4932971309301637,16.57086329622195,1995,2024
24,Leon,42.62991046950003,-5.971001316208753,10.289727139989054,1995,2024
25,Lleida,42.06625917800005,1.1781995144377118,12.512047818945055,1995,2024
26,"Rioja, La",42.28327214700005,-2.4828031135403053,11.949119364847602,1995,2024
27,Lugo,43.04075275650007,-7.447991749594156,12.297275050191647,1995,2024
28,Madrid,40.52170160700007,-3.7676423784264705,13.517479467056047,1995,2024
29,Malaga,36.79629998300004,-4.5467261235657,16.516986676400798,1995,2024
30,Murcia,38.06419952400006,-1.6719232640515669,14.944217922978648,1995,2024
31,Navarra,42.612760035000036,-1.8300424101099357,12.58873243292572,1995,2024
32,Ourense,42.19269801600004,-7.536621236336593,11.8485371418142,1995,2024
33,Asturias,43.27191501000004,-5.8519699980639555,14.126148932286908,1995,2024
34,Palencia,42.40816813050006,-4.61893106073844,10.490542069720753,1995,2024
35,"Palmas, Las",27.956567100000058,-15.60531161349521,20.261722029567427,1995,2024
36,Pontevedra,42.36343819450008,-8.533924750728751,14.184243475086692,1995,2024
37,Salamanca,40.763790924000034,-6.022417740995879,12.70550009125752,1995,2024
38,Santa Cruz de Tenerife,28.295099332000035,-16.620662869507697,20.24143639350247,1995,2024
39,Cantabria,43.13570550750006,-4.264261444415774,9.147036868041614,1995,2024
40,Segovia,41.108833974500044,-4.183805510118308,11.633698667640079,1995,2024
41,Sevilla,37.52041492950005,-5.653307476865858,18.252244935207163,1995,2024
42,Soria,41.601411720000044,-2.72147948535578,10.956325971892687,1995,2024
43,Tarragona,41.05338650550007,0.6270863050618757,15.983590071180874,1995,2024
44,Teruel,40.59881203300006,-0.9214764144525668,11.16584960759262,1995,2024
45,Toledo,39.788307378500065,-4.102631052231721,15.146844314655953,1995,2024
46,Valencia/Valencia,39.33404678750006,-0.8019770714363135,16.595639715276498,1995,2024
47,Valladolid,41.70412361100006,-4.697091012250786,12.569833911297678,1995,2024
48,Bizkaia,43.23917273750004,-2.8511295597341766,11.87137342580762,1995,2024
49,Zamora,41.686580826500034,-5.9425946080037,12.553784449717101,1995,2024
50,Zaragoza,41.84402038850007,-1.170849419808773,14.03810275597736,1995,2024
51,Ceuta,35.894265302000065,-5.3471902688858375,18.241379813834655,1995,2024
52,Melilla,35.29265108100003,-2.951647995916824,18.878933199488966,1995,2024
