COD_PROVINCIA,province_name,latitude,longitude,annual_mean_c,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,start_year,end_year
01,Araba/Alava,42.84685163200004,-2.681504930102382,11.968857455740098,5.259666666666668,5.957830188679245,8.165666666666668,10.196666666666665,13.442000000000004,16.857666666666667,18.766000000000002,19.273000000000003,16.905666666666665,13.704666666666666,8.65466666666667,6.065666666666667,5.755096011816842,10.60584420289855,18.314554347826085,13.095106227106225,1995,2024
02,Albacete,38.72452034850005,-1.9543626415771804,15.237040518342752,5.807666666666668,7.153148584905662,10.065333333333333,13.107333333333331,17.614,22.938666666666666,26.46566666666667,25.917666666666662,20.793,15.999000000000002,9.702666666666666,6.748,6.551935007385522,13.600862318840578,25.130905797101452,15.503725274725275,1995,2024
03,Alicante/Alacant,38.36507480700004,-0.7481201181065553,16.81470432560687,8.854666666666667,9.754610849056604,12.124333333333333,14.646333333333335,18.454,22.918666666666667,25.765333333333334,25.80233333333333,22.186666666666664,18.247000000000003,12.746,9.823000000000002,9.469032496307236,15.079547101449272,24.849539855072468,17.732274725274724,1995,2024
04,Almeria,37.301773670000074,-2.1845796382006686,16.597272312465773,8.287,9.345978773584903,11.750999999999998,14.458666666666668,18.426000000000005,23.121333333333332,26.211333333333336,26.049000000000003,21.931333333333335,17.75266666666667,12.098333333333331,9.263666666666666,8.954028803545054,14.883119565217392,25.14902536231885,17.266183150183153,1995,2024
05,Avila,40.62552329400006,-4.835890534161348,11.239353896696477,2.3543333333333334,3.409233490566038,6.016333333333333,8.839666666666666,13.111,18.56266666666667,22.07466666666667,21.89466666666666,16.99833333333334,11.938666666666668,5.88,3.2739999999999996,3.0005096011816823,9.327579710144928,20.868797101449267,11.609326007326008,1995,2024
06,Badajoz,38.697065080000044,-6.220354224100653,16.124214272677488,6.838,8.13064858490566,10.818000000000001,13.624333333333334,17.904999999999998,23.46766666666667,27.097333333333335,26.944666666666677,22.363666666666674,17.176333333333332,10.762333333333334,7.842333333333336,7.5877031019202335,14.121119565217391,25.86230434782609,16.771937728937726,1995,2024
07,"Balears, Illes",39.61265576450003,2.8823125712618562,18.5425615988319,12.209333333333333,12.015129716981132,13.367999999999999,15.44666666666667,18.721666666666668,22.90233333333333,26.079666666666657,26.603999999999996,23.929333333333336,20.793666666666667,16.40533333333333,13.605666666666668,12.628057607090097,15.849778985507246,25.220257246376814,20.38069963369964,1995,2024
08,Barcelona,41.760116315500056,2.0307008309731724,12.714013506114252,4.0166666666666675,5.1857429245283,7.922333333333334,10.814666666666668,15.118999999999996,19.899333333333335,22.710666666666665,22.274,17.829333333333334,13.714999999999996,7.769666666666668,4.824000000000001,4.660018463810932,11.290449275362322,21.646789855072466,13.111373626373625,1995,2024
09,Burgos,42.32538152850006,-3.67701500562906,10.351837926628953,2.671,3.6506249999999993,6.183333333333334,8.582,12.145333333333332,16.271666666666672,18.653999999999996,18.898333333333337,15.538666666666666,11.642333333333337,6.1640000000000015,3.3960000000000004,3.226750369276218,8.974442028985504,17.959481884057972,11.12079487179487,1995,2024
10,Caceres,39.758940097500044,-6.137295340568468,15.843450447161901,6.213000000000001,7.639056603773586,10.413000000000002,13.312000000000001,17.612666666666662,23.38133333333334,27.440999999999992,27.267000000000003,22.354000000000003,16.713666666666665,10.145666666666667,7.093333333333334,6.961894387001475,13.784300724637681,26.058565217391298,16.407842490842494,1995,2024
11,Cadiz,36.53225553000004,-5.920571285172713,17.50658970615077,10.336333333333334,11.227158018867923,13.145666666666667,15.251666666666667,18.60966666666667,22.560333333333332,25.622,25.96633333333333,22.499333333333336,18.955000000000002,13.964666666666671,11.524333333333335,11.023282865583456,15.67353623188405,24.739655797101452,18.478296703296696,1995,2024
12,Castellon/Castello,40.25283130850005,-0.06020190301530279,14.038804526373424,5.807666666666666,6.67810141509434,9.306666666666667,11.935,15.984333333333332,20.878,23.797000000000004,23.476666666666667,19.094333333333335,15.101999999999997,9.325333333333333,6.595333333333333,6.350745937961594,12.413815217391306,22.737213768115943,14.513758241758243,1995,2024
13,Ciudad Real,38.96144028050006,-3.885563972559142,15.248784449717101,5.183000000000002,6.714599056603776,9.690333333333333,12.701666666666664,17.514666666666663,23.501333333333335,27.302999999999997,26.83,21.427333333333333,16.010666666666665,9.326999999999996,6.221666666666668,6.019320531757753,13.30875,25.903945652173903,15.592974358974354,1995,2024
14,Cordoba,37.95618422350003,-4.847113605074618,16.96247399160431,7.4079999999999995,8.940801886792451,11.731999999999998,14.583666666666666,18.86666666666667,24.226,28.029999999999998,28.07733333333333,23.18766666666667,18.007333333333335,11.48633333333333,8.478333333333333,8.255572378138849,15.065963768115944,26.805514492753634,17.56535531135531,1995,2024
15,"Coruna, A",43.15384420700005,-8.579850103766056,13.510610512867322,8.601666666666668,8.85566037735849,10.26866666666667,11.726999999999999,14.034000000000004,16.700333333333333,18.832,19.445333333333334,17.862666666666666,14.978999999999997,11.248333333333335,9.274999999999999,8.912444608567204,12.012963768115947,18.343557971014498,14.699769230769231,1995,2024
16,Cuenca,39.93968445450005,-2.1524468968601633,11.954189633144736,2.9296666666666678,4.139103773584906,6.926333333333333,9.813,14.15466666666667,19.49466666666666,22.87066666666667,22.303666666666665,17.329333333333334,12.673000000000002,6.508666666666666,3.790333333333333,3.6039734121122597,10.30327173913043,21.578742753623196,12.175857142857144,1995,2024
17,Girona,42.071968815000076,2.843435312365196,16.23627851797774,9.239666666666666,9.717971698113205,11.740999999999998,13.98966666666667,17.441333333333333,21.59866666666667,24.21733333333333,24.434666666666672,21.06933333333334,17.796333333333333,12.979666666666665,10.186333333333335,9.714556868537667,14.39502536231884,23.436652173913032,17.28743223443224,1995,2024
18,Granada,37.38960480700007,-3.2393785030417845,13.965139624018981,4.688666666666666,5.85811320754717,8.506666666666666,11.383333333333333,15.988666666666665,21.732333333333333,25.585666666666672,25.025999999999996,19.572333333333336,14.668666666666667,8.295333333333334,5.726333333333333,5.411237075332349,11.965818840579711,24.140561594202907,14.184161172161174,1995,2024
19,Guadalajara,40.74142346900004,-2.5050392600436364,12.501276692827165,3.0706666666666655,4.49816037735849,7.479333333333334,10.466,14.845999999999997,20.267333333333333,23.681333333333328,23.159999999999997,18.108333333333338,13.191666666666665,6.789666666666666,3.932666666666666,3.813714918759231,10.935492753623189,22.392405797101446,12.701996336996338,1995,2024
